name,title
Meg Cabot,Boy Meets Girl
Mel Bay,Guitar Chord Chart
"Merriam-Webster, Inc.",Merriam-Webster's Pocket Dictionary
Merrill Gilfillan,Burnt House to Paw Paw : Appalachian notes
Michael Connelly,The Closers
Michael Connelly,The Lincoln Lawyer : a novel
Michael Connelly,The Scarecrow : a novel
Michael Crichton,Eaters of the Dead
Michael Dibdin,Dead Lagoon : an Aurelio Zen mystery
Michael Dorris,A yellow raft in blue water
Michael G. Moore,Contemporary Issues in American Distance Education
Michael Kernan,The Lost Diaries of Frans Hals : a novel
Michael Ondaatje,The English Patient : a novel
Michael Palin,Hemingway's Chair
Michael Scott,The sorceress ; the secrets of the immortal Nicholas Flamel : Book three
Michael Talbot,The Holographic Universe
Michio Kushi,The Book of Macrobiotics
Mick Goodrick,The Advancing Guitarist
Mickey Hart,Planet Drum
Mickey Spillane,"I, the Jury, My Gun is Quick, Vengeance is Mine"
Mickey Spillane,The Mike Hammer Collection
Mike D'Orso,Walking with the wind : a memoir of the movement
Miklos Udvardy,National Audubon Society field guide to North American birds. Western region
Mil Millington,Things my girlfriend and I have argued about : a novel
Miles Davis,Miles: the autobiography
Miles Krassen,O'Neill's Music of Ireland
Mollie Katzen,The Moosewood Cookbook : Recipes from Moosewood Restaurant
Mollie Katzen,The Enchanted Broccoli Forest and Other Timeless Delicacies
Molly Gloss,Wild Life
Moosewood Collective,Moosewood Restaurant Book of Desserts
Moosewood Collective,New Recipes from Moosewood Restaurant
Moosewood Collective,Sundays at Moosewood Restaurant
Mort Rosenblum,Olives
Muriel Sweet,Common Edible and Useful Plants of the West
Muriel Wylie Blanchet,The curve of time : the classic memoir of a woman and her children who explored the coastal waters of the Pacific Northwest
Naomi Lazard,The Essential Teachings of Zen Master Hakuin
Neal Cassady,The first third & other writings
Neal Stephenson,Cryptonomicon
Nel King,Beneath the underdog: his world as composed by Mingus
Nic Harcourt,"Music lust : recommended listening for every mood, moment, and reason"
Niccolò Tucci,The Sun and the Moon
Nicholas Mosley,The Hesperides Tree
Nicholas Rinaldi,The Jukebox Queen of Malta
Nick Bantock,The Forgetting Room
Nick Bantock,Griffin & Sabine : an extraordinary correspondence
Nick Hornby,"Juliet, Naked"
Nick Hornby,Songbook
Nikki Goldbeck,American wholefoods cuisine : 1300 meatless wholesome recipes from short order to gourmet
Nikolai Vasilevich Gogol,Dead Souls
Norman Rush,Mating
Norman Waddell,The Essential Teachings of Zen Master Hakuin
Ntozake Shange,"Sassafrass, Cypress & Indigo : a novel"
O.U. Levon,Caverns : a novel
Oasis Project,Connections Technology Training
Octavia E. Butler,Parable of the Talents
Okakura Kakuzō,The Book of Tea
Old New England,Old New England Cookbook
Olive Ann Burns,Cold Sassy Tree
Ossian Publications,"The Irish pub songbook : 36 of the very best Irish pubsongs : with complete words, music and guitar chords"
Ottmar Liebert,Nouveau Flamenco
Otto Werner,The Origin and Development of Jazz
P. D. James,An Unsuitable Job for a Woman
P. Statford,The Portable Graham Greene
P.J. O'Rourke,Parliament of Whores
Pablo Neruda,"Full Woman, Fleshy Apple, Hot Moon: Selected Poems of Pablo Neruda"
Parker J. Palmer,The Courage to Teach : exploring the inner landscape of a teacher's life
Patricia Cornwell,Isle of Dogs
Patricia Grace,Baby No-Eyes
Patricia Grace,Cousins
Patricia Henley,Hummingbird House
Patricia Schechter,"Remembering the power of words: the life of an Oregon activist, legislator, and community leader"
Patrick Haskell,The Cheese Book
Patrick Humphries,Richard Thompson : the biography
Patrick McManus,The Grasshopper Trap
Paul Auster,The book of illusions : a novel
Paul Bowles,The Sheltering Sky
Paul Jordan-Smith,I become part of it : sacred dimensions in native American life
Paul Reps,"Zen flesh, Zen bones"
Paul W. Bosland,Peppers of the world : an identification guide
Paulette Jiles,Enemy Women
Paulo Coelho,The Alchemist : a story about following your dream
Pavel Kohout,I Am Snowing : the confessions of a woman of Prague
Pearl Luke,Burning Ground
Per Amann,Vincent van Gogh
Pete McCarthy,McCarthy's Bar : a journey of discovery in Ireland
Peter Adamson,The Tuscan Master
Peter Beilenson,Haiku Harvest
Peter Carey,Illywhacker
Peter Davies,The American Heritage dictionary of the English language
Peter Deadman,Nature's Foods
Peter Gadol,The Mystery Roast
Peter Høeg,Borderliners
Peter Høeg,Miss Smilla's feeling for snow
Peter Høeg,Tales of the Night
Peter Høeg,The History of Danish Dreams
Peter Mark Roget,Roget's thesaurus of synonyms and antonyms
Peter Matthiessen,Nine Headed Dragon River
Peter Mayle,Hotel Pastis : a novel of Provence 
Peter Powers,"Touring the Islands : bicycling in the San Juan, Gulf, and Vancouver Islands"
Phil Baguley,Teach Yourself Project Management
Phil Lesh,Searching for the Sound
Philip J. Pratt,A Guide to SQL
Philip Kapleau,"The three pillars of Zen: teaching, practice, and enlightenment"
Phillip Wayne Allen,Sprouting for health in the 90s : build your immune system and detox your body
Poppy Z. Brite,Liquor : a novel
Quincy Troupe,Miles: the autobiography
Rachel Biheller Bunin,Microsoft Project 2010 : Introductory
Rachel Cusk,The Country Life
Ralph Helfer,Modoc: the true story of the greatest elephant that ever lived
Ralph Steadman,The Grapes of Ralph
Rand McNally,Road Atlas & Trip Planner
Randy Wayne White,The Heat Islands
Rebecca Theurer Wood,Whole Foods Guide for Employees of Natural Food Stores
Relix Magazine,Relix Vol. 16 No. 1
Relix Magazine,Relix Vol. 16 No. 2
Relix Magazine,Relix Vol. 16 No. 4
Relix Magazine,Relix Vol. 16 No. 6
Rex Pickett,Sideways
Rich Carter,Jazz Guitar Masterpieces
Richard Adams,Watership Down
Richard Bach,Illusions : the adventures of a reluctant Messiah
Richard Bach,One: a novel
Richard Brautigan,"Trout fishing in America, the Pill versus the Springhill mine disasterk, and In watermelon sugar"
Richard Dawkins,The God Delusion
Richard E. Mayer,Cambridge Handbook of Multimedia Learning
Richard Flanagan,The Sound of One Hand Clapping
Richard Kluger,The Sheriff of Nottingham
Richard Monaco,"Parsival, or a Knight's Tale"
Richard Nelson,The Island Within
Richard Powers,The Gold Bug Variations
Richard Spellenberg,The Audubon Society field guide to North American wildflowers : western region
Richard Sterling,"The fire never dies : one man's raucous romp down the road of food, passion, and adventure"
Rita Dove,Through the Ivory Gate
Rob Van der Plas,The bicycle repair book : the complete manual of bicycle care
Robert B. Parker,Split Image
Robert Boswell,Mystery Ride : a novel
Robert C. Solomon,From rationalism to existentialism : the existentialists and their nineteenth-century backgrounds
Robert Crais,The Last Detective
Robert Dessaix,Night Letters
Robert Kay,Fiji : a travel survival kit
Robert Linssen,Living Zen
Robert Ludlum,The Bourne Identity
Robert Ludlum,The Bourne Supremacy
Robert M. Gagné,Instructional Technology : Foundations
Robert M. Gagné,Learner's Guide to Accompany Principles of Instructional Design
Robert M. Gagné,Principles of Instructional Design
Robert McLiam Wilson,Eureka Street : a novel of Ireland like no other
Robert Michael Pyle,Wintergreen: rambles in a ravaged land
Robert Olen Butler,Sun Dogs : a novel
Robert Olen Butler,The Deuce : a novel
Robertson Davies,What's bred in the bone
Roddy Doyle,The Barrytown Trilogy
Roddy Doyle,The Woman Who Walked into Doors
Rolling Stone,Rolling Stone: 1000th Issue
Rolling Stone,The Rolling Stone Interviews
Rolling Stone,Rolling Stone: Jerry Garcia Issue 1
Rolling Stone,Rolling Stone: Jerry Garcia Issue 2
Rolling Stone,Rolling Stone: Jerry Garcia Issue 3
Rollo May,The Courage to Create
Ron Hansen,Mariette in Ecstasy
Ronny Lee,"Jazz Guitarist, Volume 2"
Rosario Ferré,The House on the Lagoon
Rotraud Michael-Degner,The Cheeses of Italy
Royal Robbins,Basic Rockcraft
Rudolfo Anaya,Zia Summer
Russell Banks,Continental Drift
Ruth Reichl,Comfort me with apples : more adventures at the table
Ruth Reichl,Tender at the Bone
Ruth Rendell,The Rottweiler
Ruth Winter,A consumer's dictionary of food additives
S. E. Hinton,"That was then, this is now"
S. E. Hinton,The Outsiders
Sal Salvador,Ultimate Scales & Modes for Guitar
Salma Samar Damluji,The Sultan Qaboos Grand Mosque
Samuel Beckett,En Attendant Godot
Samuel Chamberlain,Clémentine in the Kitchen
Samuel Fromartz,"Organic, inc. : natural foods and how they grew"
Sandra Benitez,Bitter Grounds
Sara Midda,In and Out of the Garden
Sarah Bird,The Mommy Club : a novel
Sarah Graves,Repair to Her Grave
Saul Bellow,The Dean's December
Saul Bellow,"Henderson, the Rain King"
Schuyler Ingle,Vintage Pellegrini : the collected wisdom of an American buongustaio : writings
Scott Meyer,Deadhead Forever : Property of Haze
Scott Simon,Pretty Birds
Seamus Heaney,"Selected poems, 1966-1987"
Sebastian Faulks,On Green Dolphin Street : a novel
Sharon Pape,Sketch me if you can
Sharon Tyler Herbst,The New Food Lover's Companion
Sheila Lukins,The Silver Palate Cookbook
Sheila Lukins,The Silver Palate good times cookbook
Shel Silverstein,Different Dances
Shuntō Aoyama,Zen seeds : reflections of a female priest
"Somerville, E. Œ.",The Irish R.M.
Sonja Maria Dahl,Too Many Tears
Stanley Karnow,Vietnam : a history
Stephen Coonts,The Intruders
Stephen Dobyns,Saratoga Haunting
Stephen Hunt,The kingdom beyond the waves
Stephen Mitchell,"Full Woman, Fleshy Apple, Hot Moon: Selected Poems of Pablo Neruda"
Stephen Myhre,Bone carving : a skillbase of techniques and concepts
Steve Hall,Guitar Chord Encyclopedia
Steven Jenkins,Cheese Primer
Steven Johnson,Mind wide open : your brain and the neuroscience of everyday life
Steven Nightingale,The Lost Coast
Steven Rinella,The Scavenger's Guide to Haute Cuisine
Stieg Larsson,The Girl Who Played with Fire
Stieg Larsson,The Girl with the Dragon Tattoo
Stuart Woods,Chiefs
Stuart Woods,Dead in the Water
Stuart Woods,Hot Mahogany
Stuart Woods,Lucid Intervals
Stuart Woods,Orchard Beach
Sue William Silverman,Love sick : one woman's journey through sexual addiction
Sune Engelbrektson,"Stars, Planets, and Galaxies"
Sunetra Gupta,Memories of Rain
Susan Fox Rogers,Two in the Wild
Susan Orlean,The Orchid Thief
Susan Straight,I Been in Sorrow's Kitchen and Licked Out All the Pots
Susanna Moore,The Whiteness of Bones : a novel
Swain Wolfe,The Woman Who Lives in the Earth
Sylvan Barnet,"An introduction to literature : fiction, poetry, drama"
T Coraghessan Boyle,Budding Prospects
T Coraghessan Boyle,Greasy Lake & other stories
T Coraghessan Boyle,The Tortilla Curtain
T Coraghessan Boyle,Water Music: a novel
T Coraghessan Boyle,World's End : a novel
T. Jeff Williams,Basic Wiring Techniques
T.A. Layton,Cheese and Cheese Cookery
T.S. Eliot,Old Possum's Book of Practical Cats
T.S. Eliot,Selected Poems
Tananarive Due,The good house : a novel
Ted Greene,Jazz guitar single note soloing. Vol. 1
Ted Greene,Modern Chord Progressions
Ted Ringer,"Get Outta Town : a Tale of the Grateful Dead, the IRS, and Coffee"
Terry Farish,A House in Earnest : a novel
Terry McMillan,How Stella Got Her Groove Back
Thomas Hardy,Tess of the d'Urbervilles
Thomas King,"Green Grass, Running Water"
Thomas M. Connolly,"Database Systems: a practical approach to design, implementation, and management"
Thomas McGuane,Keep the Change
Thomas McGuane,Panama
Thomas Pynchon,Gravity's Rainbow
Thomas Pynchon,V.
Thomas Sanchez,Mile Zero
Thomas Wharton,Icefields
Thomas Wharton,Salamander
Thích. Nhất Hạnh,Peace is every step : the path of mindfulness in everyday life
Tim Cahill,A Wolverine is Eating My Leg
Tim Dorsey,Atomic Lobster
Tim Dorsey,Florida Roadkill: a novel
Tim Dorsey,Hammerhead Ranch Motel
Tim Folger,"The best American science and nature writing, 2004"
Tim O'Brien,Going After Cacciato : a novel
Tim O'Brien,"If I die in a combat zone, box me up and ship me home"
Tim O'Brien,In the Lake of the Woods
Tim O'Brien,The Things They Carried : a work of fiction
Tim Sandlin,Sex and Sunsets
Tim Sandlin,Western Swing
Time-Life Books,Soups
Tina McElroy Ansa,Baby of the Family
Tina McElroy Ansa,The Hand I Fan With
Tom Manoff,The Music Kit : Rhythm Reader
Tom Manoff,The Music Kit : Workbook
Tom Robbins,Another Roadside Attraction
Tom Robbins,Fierce Invalids Home from Hot Climates
Tom Robbins,Half Asleep in Frog Pajamas
Tom Robbins,Jitterbug Perfume
Tom Robbins,Still life with woodpecker : [a sort of a love story]
Tom Robbins,Villa Incognito
Tom Watts,Rocky Mountain Tree Finder: a pocket manual for identifying Rocky Mountain trees
Tom Wolfe,The electric kool-aid acid test
Toni Morrison,Jazz
Toni Morrison,Song of Solomon
Tony Birks,The Complete Potter's Companion
Tony Glover,Blues harp : an instruction method for playing the blues harmonica
Tony Wheeler,New Zealand : a travel survival kit
Toyoaki Kawai,Creative Origami
Troy Soos,Hunting a Detroit Tiger
Troy Soos,Murder at Wrigley Field
Try-Foods International,The Art of Selecting and Serving Cheese
Twelve Time Systems,Sonar 3
Urban Waite,The Terror of Living
Van Reid,Cordelia Underwood
Victor Hugo,Les Misérables
Victor Sodsook,True Thai : the modern art of Thai cooking
Vijay Hassin,The Modern Yoga Handbook
Vijay Hassin,Step by Step to Organic Vegetable Growing
Vikram Chandra,Red earth and pouring rain : a novel
Vincent Kohler,Banjo Boy
Vivienne Marquis,The Cheese Book
Voltaire,Candide
W. P. Kinsella,"Red Wolf, Red Wolf"
Walt Wheelock,"Ropes, Knots & Slings for Climbers"
Walter Mosley,Fearless Jones : a novel
Walter W. Wager,Learner's Guide to Accompany Principles of Instructional Design
Wayne Johnson,Don't think twice : a novel
Wayne Johnston,The Colony of Unrequited Dreams
Wendy Esko,The Changing Seasons Macrobiotic Cookbook
Wendy Esko,Macrobiotic Cooking for Everyone
Wendy Holden,Bad Heir Day
William Bay,"Mel Bay's fun with the harmonica : an instruction method for diatonic, chromatic, and blues styling"
William Carpenter,A Keeper of Sheep
William G. Leavitt,A Modern Method for Guitar. vol. 1
William G. Leavitt,A Modern Method for Guitar. vol. 2
William G. Leavitt,Reading studies for guitar : positions one through seven and multi-position studies in all keys
William Glasser,The Quality School
William S. Burroughs,Junky
William T. Vollmann,The Atlas
William T. Vollmann,Butterfly Stories
William Trevor,Ireland : selected stories
Willis Harman,Higher Creativity
Wing-Tsit Chan,The Way of Lao Tzu
Wisconsin Milk Marketing Board,Wisconsin Cheesecyclopedia
Woody Mann,The Blues Fakebook
Yamaha,Yamaha Song Book
Yann Martel,Life of Pi
Zoe Weil,"Most Good, Least Harm"
Zora Neale Hurston,I love myself when I am laughing : and then again when I am looking mean : a Zora Neale Hurston reader
Zoë Brân,Enduring Cuba
