subject,prefix,author_prefix,dcterms:creator,author_last_first,rdfs:label,dcterms:title,schema:encodingFormat,schema:bookFormat
Stephanie_Plum_14,authors,:,Janet_Evanovich,"Evanovich, Janet",Janet Evanovich,Stephanie Plum 14 - Fearless Fourteen,mobi,schema:Ebook
Stephanie_Plum_15,authors,:,Janet_Evanovich,"Evanovich, Janet",Janet Evanovich,Stephanie Plum 15 - Finger Lickin' Fifteen,mobi,schema:Ebook
Stephanie_Plum_16,authors,:,Janet_Evanovich,"Evanovich, Janet",Janet Evanovich,Stephanie Plum 16 - Sizzling Sixteen,mobi,schema:Ebook
Visions_of_Sugar_Plums,authors,:,Janet_Evanovich,"Evanovich, Janet",Janet Evanovich,Visions of Sugar Plums,mobi,schema:Ebook
Coming_of_Third_Reich,authors,:,Richard_J_Evans,"Evans, Richard J.",Richard J. Evans,The Coming of the Third Reich,mobi,schema:Ebook
Elizabeth_Street,authors,:,Laurie_Fabiano,"Fabiano, Laurie",Laurie Fabiano,Elizabeth Street,mobi,schema:Ebook
Fragment_,authors,:,Warren_Fahy,"Fahy, Warren",Warren Fahy,Fragment ,prc,schema:Ebook
Kingdom_Besieged,authors,:,Raymond_E_Feist,"Feist, Raymond E.",Raymond E. Feist,A Kingdom Besieged,mobi,schema:Ebook
Magician_Apprentice,authors,:,Raymond_E_Feist,"Feist, Raymond E.",Raymond E. Feist,"Magician, Apprentice",mobi,schema:Ebook
American_on_Purpose,authors,:,Craig_Ferguson,"Ferguson, Craig",Craig Ferguson,American on Purpose,mobi,schema:Ebook
Four-Hour_Body,authors,:,Tim_Ferriss,"Ferriss, Timothy",Timothy Ferriss,The 4-Hour Body,mobi,schema:Ebook
Four-Hour_Workweek,authors,:,Tim_Ferriss,"Ferriss, Timothy",Timothy Ferriss,The 4-Hour Workweek,mobi,schema:Ebook
Surely_Youre_Joking_Mr._Feynman,authors,:,Richard_Feynman,"Feynman, Richard P.",Richard P. Feynman,"Surely You're Joking, Mr. Feynman!",mobi,schema:Ebook
Bridget_Joness_Diary,authors,:,Helen_Fielding,"Fielding, Helen",Helen Fielding,Bridget Jones's Diary,mobi,schema:Ebook
Tender_is_Night,authors,:,F_Scott_Fitzgerald,"Fitzgerald, F. Scott",F. Scott Fitzgerald,Tender is the Night,mobi,schema:Ebook
Beautiful_and_Damned,authors,:,F_Scott_Fitzgerald,"Fitzgerald, F. Scott",F. Scott Fitzgerald,The Beautiful and Damned,mobi,schema:Ebook
Great_Gatsby,authors,:,F_Scott_Fitzgerald,"Fitzgerald, F. Scott",F. Scott Fitzgerald,The Great Gatsby,mobi,schema:Ebook
This_Side_of_Paradise,authors,:,F_Scott_Fitzgerald,"Fitzgerald, F. Scott",F. Scott Fitzgerald,This Side of Paradise,mobi,schema:Ebook
Madame_Bovary,authors,:,Gustave_Flaubert,"Flaubert, Gustave",Gustave Flaubert,Madame Bovary,mobi,schema:Ebook
Sentimental_Education,authors,:,Gustave_Flaubert,"Flaubert, Gustave",Gustave Flaubert,Sentimental Education,mobi,schema:Ebook
Dark_Places,authors,:,Gillian_Flynn,"Flynn, Gillian",Gillian Flynn,Dark Places,mobi,schema:Ebook
Eating_Animals,authors,:,Jonathan_Safran_Foer,"Foer, Jonathan Safran",Jonathan Safran Foer,Eating Animals,mobi,schema:Ebook
Extremely_Loud_Incredibly_Close,authors,:,Jonathan_Safran_Foer,"Foer, Jonathan Safran",Jonathan Safran Foer,Extremely Loud & Incredibly Close,mobi,schema:Ebook
Fall_of_Giants,authors,:,Ken_Follett,"Follett, Ken",Ken Follett,Fall of Giants,mobi,schema:Ebook
Jackdaws,authors,:,Ken_Follett,"Follett, Ken",Ken Follett,Jackdaws,mobi,schema:Ebook
Key_to_Rebecca,authors,:,Ken_Follett,"Follett, Ken",Ken Follett,The Key to Rebecca,mobi,schema:Ebook
Man_from_St._Petersburg,authors,:,Ken_Follett,"Follett, Ken",Ken Follett,The Man from St. Petersburg,mobi,schema:Ebook
Pillars_of_Earth,authors,:,Ken_Follett,"Follett, Ken",Ken Follett,The Pillars of the Earth,mobi,schema:Ebook
World_Without_End,authors,:,Ken_Follett,"Follett, Ken",Ken Follett,World Without End,mobi,schema:Ebook
Always_Looking_Up,authors,:,Michael_J_Fox,"Fox, Michael J.",Michael J. Fox,"Always Looking Up, The Adventures of an Incurable Optimist",mobi,schema:Ebook
Diary_of_Young_Girl,authors,:,Anne_Frank,"Frank, Anne",Anne Frank,The Diary of a Young Girl,mobi,schema:Ebook
Alas_Babylon,authors,:,Pat_Frank,"Frank, Pat",Pat Frank,"Alas, Babylon",mobi,schema:Ebook
Freedom,authors,:,Jonathan_Franzen,"Franzen, Jonathan",Jonathan Franzen,Freedom,mobi,schema:Ebook
Corrections,authors,:,Jonathan_Franzen,"Franzen, Jonathan",Jonathan Franzen,The Corrections,mobi,schema:Ebook
Faithful_Place,authors,:,Tana_French,"French, Tana",Tana French,Faithful Place,mobi,schema:Ebook
In_Woods,authors,:,Tana_French,"French, Tana",Tana French,In the Woods,mobi,schema:Ebook
Likeness,authors,:,Tana_French,"French, Tana",Tana French,The Likeness,mobi,schema:Ebook
Million_Little_Pieces,authors,:,James_Frey,"Frey, James",James Frey,A Million Little Pieces,mobi,schema:Ebook
Bright_Shiny_Morning,authors,:,James_Frey,"Frey, James",James Frey,Bright Shiny Morning,mobi,schema:Ebook
Key,authors,:,James_Frey,"Frey, James",James Frey,The Key,mobi,schema:Ebook
How_to_Beat_Up_Anybody,authors,:,Judah_Friedlander,"Friedlander, Judah",Judah Friedlander,How to Beat Up Anybody,mobi,schema:Ebook
Road_Not_Taken,authors,:,Robert_Frost,"Frost, Robert",Robert Frost,The Road Not Taken,mobi,schema:Ebook
American_Gods,authors,:,Neil_Gaiman,"Gaiman, Neil",Neil Gaiman,American Gods,mobi,schema:Ebook
Anansi_Boys,authors,:,Neil_Gaiman,"Gaiman, Neil",Neil Gaiman,Anansi Boys,mobi,schema:Ebook
Coraline,authors,:,Neil_Gaiman,"Gaiman, Neil",Neil Gaiman,Coraline,mobi,schema:Ebook
Dont_Panic,authors,:,Neil_Gaiman,"Gaiman, Neil",Neil Gaiman,Don't Panic - The Official Guide to the Hitchikers Guide to the Galaxy,prc,schema:Ebook
Fragile_Things,authors,:,Neil_Gaiman,"Gaiman, Neil",Neil Gaiman,Fragile Things,mobi,schema:Ebook
Good_Omens,authors,:,Neil_Gaiman,"Gaiman, Neil",Neil Gaiman,Good Omens,mobi,schema:Ebook
Neverwhere,authors,:,Neil_Gaiman,"Gaiman, Neil",Neil Gaiman,Neverwhere,mobi,schema:Ebook
Stardust,authors,:,Neil_Gaiman,"Gaiman, Neil",Neil Gaiman,Stardust,mobi,schema:Ebook
Graveyard_Book,authors,:,Neil_Gaiman,"Gaiman, Neil",Neil Gaiman,The Graveyard Book,mobi,schema:Ebook
Dream_Hunter,authors,:,Neil_Gaiman,"Gaiman, Neil",Neil Gaiman,Dream Hunter,prc,schema:Ebook
Harlequin_Valentine,authors,:,Neil_Gaiman,"Gaiman, Neil",Neil Gaiman,Harlequin Valentine,prc,schema:Ebook
Murder_Mysteries,authors,:,Neil_Gaiman,"Gaiman, Neil",Neil Gaiman,Murder Mysteries,prc,schema:Ebook
Snow_Glass_Apples,authors,:,Neil_Gaiman,"Gaiman, Neil",Neil Gaiman,Snow Glass Apples,prc,schema:Ebook
Tales_in_Sand,authors,:,Neil_Gaiman,"Gaiman, Neil",Neil Gaiman,Tales in the Sand,prc,schema:Ebook
Burning_Chrome,authors,:,William_Gibson,"Gibson, William",William Gibson,Burning Chrome,mobi,schema:Ebook
Count_Zero,authors,:,William_Gibson,"Gibson, William",William Gibson,Count Zero,mobi,schema:Ebook
Johnny_Mnemonic,authors,:,William_Gibson,"Gibson, William",William Gibson,Johnny Mnemonic,mobi,schema:Ebook
Mona_Lisa_Overdrive,authors,:,William_Gibson,"Gibson, William",William Gibson,Mona Lisa Overdrive,mobi,schema:Ebook
Neuromancer,authors,:,William_Gibson,"Gibson, William",William Gibson,Neuromancer,mobi,schema:Ebook
Pattern_Recognition,authors,:,William_Gibson,"Gibson, William",William Gibson,Pattern Recognition,mobi,schema:Ebook
Spook_Country,authors,:,William_Gibson,"Gibson, William",William Gibson,Spook Country,mobi,schema:Ebook
Difference_Engine,authors,:,William_Gibson,"Gibson, William",William Gibson,The Difference Engine,mobi,schema:Ebook
Zero_History,authors,:,William_Gibson,"Gibson, William",William Gibson,Zero History,mobi,schema:Ebook
Eat_Pray_Love,authors,:,Elizabeth_Gilbert,"Gilbert, Elizabeth",Elizabeth Gilbert,"Eat, Pray, Love",mobi,schema:Ebook
Blink,authors,:,Malcolm_Gladwell,"Gladwell, Malcolm",Malcolm Gladwell,"Blink, The Power of Thinking Without Thinking",mobi,schema:Ebook
Outliers,authors,:,Malcolm_Gladwell,"Gladwell, Malcolm",Malcolm Gladwell,"Outliers, The Story of Success",mobi,schema:Ebook
Tipping_Point,authors,:,Malcolm_Gladwell,"Gladwell, Malcolm",Malcolm Gladwell,"The Tipping Point, How Little Things Can Make a Big Difference",mobi,schema:Ebook
Genius_Life_Science_Richard_Feynman,authors,:,James_Gleick,"Gleick, James",James Gleick,"Genius, The Life and Science of Richard Feynman",mobi,schema:Ebook
Lord_of_Flies,authors,:,William_Golding,"Golding, William",William Golding,Lord of the Flies,mobi,schema:Ebook
Princess_Bride,authors,:,William_Golding,"Golding, William",William Golding,The Princess Bride,mobi,schema:Ebook
Sword_of_Truth_00,authors,:,Terry_Goodkind,"Goodkind, Terry",Terry Goodkind,Sword of Truth 00 - Debt of Bones,mobi,schema:Ebook
Sword_of_Truth_01,authors,:,Terry_Goodkind,"Goodkind, Terry",Terry Goodkind,Sword of Truth 01 - Wizard's First Rule,mobi,schema:Ebook
Sword_of_Truth_02,authors,:,Terry_Goodkind,"Goodkind, Terry",Terry Goodkind,Sword of Truth 02 - Stone of Tears,mobi,schema:Ebook
Sword_of_Truth_03,authors,:,Terry_Goodkind,"Goodkind, Terry",Terry Goodkind,Sword of Truth 03 - Blood of the Fold,mobi,schema:Ebook
Sword_of_Truth_04,authors,:,Terry_Goodkind,"Goodkind, Terry",Terry Goodkind,Sword of Truth 04 - Temple of the Winds,mobi,schema:Ebook
Sword_of_Truth_05,authors,:,Terry_Goodkind,"Goodkind, Terry",Terry Goodkind,Sword of Truth 05 - Soul of the Fire,mobi,schema:Ebook
Sword_of_Truth_06,authors,:,Terry_Goodkind,"Goodkind, Terry",Terry Goodkind,Sword of Truth 06 - Faith of the Fallen,mobi,schema:Ebook
Sword_of_Truth_07,authors,:,Terry_Goodkind,"Goodkind, Terry",Terry Goodkind,Sword of Truth 07 - The Pillars of Creation,mobi,schema:Ebook
Sword_of_Truth_08,authors,:,Terry_Goodkind,"Goodkind, Terry",Terry Goodkind,Sword of Truth 08 - Naked Empire,mobi,schema:Ebook
Sword_of_Truth_09,authors,:,Terry_Goodkind,"Goodkind, Terry",Terry Goodkind,Sword of Truth 09 - Chainfire,mobi,schema:Ebook
Sword_of_Truth_10,authors,:,Terry_Goodkind,"Goodkind, Terry",Terry Goodkind,Sword of Truth 10 - Phantom,mobi,schema:Ebook
Sword_of_Truth_11,authors,:,Terry_Goodkind,"Goodkind, Terry",Terry Goodkind,Sword of Truth 11 - Confessor,mobi,schema:Ebook
Team_of_Rivals,authors,:,Doris_Kearns_Goodwin,"Goodwin, Doris Kearns",Doris Kearns Goodwin,Team of Rivals,mobi,schema:Ebook
Lost_Dogs,authors,:,Lee_Child,"Gorant, Jim",Jim Gorant,The Lost Dogs,mobi,schema:Ebook
A_Alibi,authors,:,Sue_Grafton,"Grafton, Sue",Sue Grafton,A is for Alibi,mobi,schema:Ebook
B_Burglar,authors,:,Sue_Grafton,"Grafton, Sue",Sue Grafton,B is for Burglar,mobi,schema:Ebook
C_Corpse,authors,:,Sue_Grafton,"Grafton, Sue",Sue Grafton,C is for Corpse,mobi,schema:Ebook
D_Deadbeat,authors,:,Sue_Grafton,"Grafton, Sue",Sue Grafton,D is for Deadbeat,mobi,schema:Ebook
E_Evidence,authors,:,Sue_Grafton,"Grafton, Sue",Sue Grafton,E is for Evidence,mobi,schema:Ebook
F_Fugitive,authors,:,Sue_Grafton,"Grafton, Sue",Sue Grafton,F is for Fugitive,mobi,schema:Ebook
G_Gumshoe,authors,:,Sue_Grafton,"Grafton, Sue",Sue Grafton,G is for Gumshoe,mobi,schema:Ebook
H_Homicide,authors,:,Sue_Grafton,"Grafton, Sue",Sue Grafton,H is for Homicide,mobi,schema:Ebook
I_Innocent,authors,:,Sue_Grafton,"Grafton, Sue",Sue Grafton,I is for Innocent,mobi,schema:Ebook
J_Judgement,authors,:,Sue_Grafton,"Grafton, Sue",Sue Grafton,J is for Judgement,mobi,schema:Ebook
K_Killer,authors,:,Sue_Grafton,"Grafton, Sue",Sue Grafton,K is for Killer,mobi,schema:Ebook
L_Lawless,authors,:,Sue_Grafton,"Grafton, Sue",Sue Grafton,L is for Lawless,mobi,schema:Ebook
M_Malice,authors,:,Sue_Grafton,"Grafton, Sue",Sue Grafton,M is for Malice,mobi,schema:Ebook
N_Noose,authors,:,Sue_Grafton,"Grafton, Sue",Sue Grafton,N is for Noose,mobi,schema:Ebook
O_Outlaw,authors,:,Sue_Grafton,"Grafton, Sue",Sue Grafton,O is for Outlaw,mobi,schema:Ebook
P_Peril,authors,:,Sue_Grafton,"Grafton, Sue",Sue Grafton,P is for Peril,mobi,schema:Ebook
Q_Quarry,authors,:,Sue_Grafton,"Grafton, Sue",Sue Grafton,Q is for Quarry,mobi,schema:Ebook
R_Ricochet,authors,:,Sue_Grafton,"Grafton, Sue",Sue Grafton,R is for Ricochet,mobi,schema:Ebook
S_Silence,authors,:,Sue_Grafton,"Grafton, Sue",Sue Grafton,S is for Silence,mobi,schema:Ebook
T_Trespass,authors,:,Sue_Grafton,"Grafton, Sue",Sue Grafton,T is for Trespass,mobi,schema:Ebook
U_Undertow,authors,:,Sue_Grafton,"Grafton, Sue",Sue Grafton,U is for Undertow,mobi,schema:Ebook
Abraham_Lincoln_Vampire_Hunter,authors,:,Seth_Grahame_Smith,"Grahame-Smith, Seth",Seth Grahame-Smith,"Abraham Lincoln, Vampire Hunter",mobi,schema:Ebook
Pride_Prejudice_Zombies,authors,:,Seth_Grahame_Smith,"Grahame-Smith, Seth",Seth Grahame-Smith,Pride and Prejudice and Zombies,mobi,schema:Ebook
Feed,authors,:,Mira_Grant,"Grant, Mira",Mira Grant,Feed,mobi,schema:Ebook
Will_Grayson_Will_Grayson,authors,:,John_Green,"Green, John",John Green,"Will Grayson, Will Grayson",mobi,schema:Ebook
Elegant_Universe,authors,:,Brian_Greene,"Greene, Brian",Brian Greene,The Elegant Universe,mobi,schema:Ebook
Boleyn_Inheritance,authors,:,Philippa_Gregory,"Gregory, Philippa",Philippa Gregory,The Boleyn Inheritance,mobi,schema:Ebook
Other_Boleyn_Girl,authors,:,Philippa_Gregory,"Gregory, Philippa",Philippa Gregory,The Other Boleyn Girl,mobi,schema:Ebook
Red_Queen,authors,:,Philippa_Gregory,"Gregory, Philippa",Philippa Gregory,The Red Queen,mobi,schema:Ebook
White_Queen,authors,:,Philippa_Gregory,"Gregory, Philippa",Philippa Gregory,The White Queen,mobi,schema:Ebook
Memoir_Kathy_Griffin,authors,:,Kathy_Griffin,"Griffin, Kathy",Kathy Griffin,A Memoir According to Kathy Griffin,mobi,schema:Ebook
Grimms_Fairy_Tales,authors,:,Wilhelm_Grimm,Grimm Brothers,Grimm Brothers,Grimm's Fairy Tales,mobi,schema:Ebook
Complete_Grimms_Fairy_Tales,authors,:,Wilhelm_Grimm,"Grimm, Wilhelm",Wilhelm Grimm,The Complete Grimm's Fairy Tales,mobi,schema:Ebook
Kings_Ransom,authors,:,James_Grippando,"Grippando, James",James Grippando,A King's Ransom,mobi,schema:Ebook
Painted_House,authors,:,John_Grisham,"Grisham, John",John Grisham,A Painted House,mobi,schema:Ebook
Time_to_Kill,authors,:,John_Grisham,"Grisham, John",John Grisham,A Time to Kill,mobi,schema:Ebook
Bleachers,authors,:,John_Grisham,"Grisham, John",John Grisham,Bleachers,mobi,schema:Ebook
Ford_County,authors,:,John_Grisham,"Grisham, John",John Grisham,Ford County,mobi,schema:Ebook
Playing_for_Pizza,authors,:,John_Grisham,"Grisham, John",John Grisham,Playing for Pizza,mobi,schema:Ebook
Skipping_Christmas,authors,:,John_Grisham,"Grisham, John",John Grisham,Skipping Christmas,mobi,schema:Ebook
Appeal,authors,:,John_Grisham,"Grisham, John",John Grisham,The Appeal,mobi,schema:Ebook
Associate,authors,:,John_Grisham,"Grisham, John",John Grisham,The Associate,mobi,schema:Ebook
Brethren,authors,:,John_Grisham,"Grisham, John",John Grisham,The Brethren,mobi,schema:Ebook
Broker,authors,:,John_Grisham,"Grisham, John",John Grisham,The Broker,mobi,schema:Ebook
Chamber,authors,:,John_Grisham,"Grisham, John",John Grisham,The Chamber,mobi,schema:Ebook
Client,authors,:,John_Grisham,"Grisham, John",John Grisham,The Client,mobi,schema:Ebook
Confession,authors,:,John_Grisham,"Grisham, John",John Grisham,The Confession,mobi,schema:Ebook
Firm,authors,:,John_Grisham,"Grisham, John",John Grisham,The Firm,mobi,schema:Ebook
Innocent_Man,authors,:,John_Grisham,"Grisham, John",John Grisham,The Innocent Man,mobi,schema:Ebook
King_of_Torts,authors,:,John_Grisham,"Grisham, John",John Grisham,The King of Torts,mobi,schema:Ebook
Last_Juror,authors,:,John_Grisham,"Grisham, John",John Grisham,The Last Juror,mobi,schema:Ebook
Partner,authors,:,John_Grisham,"Grisham, John",John Grisham,The Partner,mobi,schema:Ebook
Pelican_Brief,authors,:,John_Grisham,"Grisham, John",John Grisham,The Pelican Brief,mobi,schema:Ebook
Rainmaker,authors,:,John_Grisham,"Grisham, John",John Grisham,The Rainmaker,mobi,schema:Ebook
Runaway_Jury,authors,:,John_Grisham,"Grisham, John",John Grisham,The Runaway Jury,mobi,schema:Ebook
Street_Lawyer,authors,:,John_Grisham,"Grisham, John",John Grisham,The Street Lawyer,mobi,schema:Ebook
Summons,authors,:,John_Grisham,"Grisham, John",John Grisham,The Summons,mobi,schema:Ebook
Testament,authors,:,John_Grisham,"Grisham, John",John Grisham,The Testament,mobi,schema:Ebook
Marley_&_Me,authors,:,John_Grogan,"Grogan, John",John Grogan,Marley & Me,mobi,schema:Ebook
Magicians,authors,:,Lev_Grossman,"Grossman, Lev",Lev Grossman,The Magicians,mobi,schema:Ebook
Water_for_Elephants,authors,:,Sara_Gruen,"Gruen, Sara",Sara Gruen,Water for Elephants,mobi,schema:Ebook
Irresistible_Henry_House,authors,:,Lisa_Grunwald,"Grunwald, Lisa",Lisa Grunwald,The Irresistible Henry House,mobi,schema:Ebook
Forever_War,authors,:,Joe_Haldeman,"Haldeman, Joe",Joe Haldeman,The Forever War,mobi,schema:Ebook
Shit_My_Dad_Says,authors,:,Justin_Halpern,"Halpern, Justin",Justin Halpern,Shit My Dad Says,mobi,schema:Ebook
Anita_Blake_01,authors,:,Laurell_K_Hamilton,"Hamilton, Laurell K.",Laurell K. Hamilton,Anita Blake 01 - Guilty Pleasures,mobi,schema:Ebook
Anita_Blake_02,authors,:,Laurell_K_Hamilton,"Hamilton, Laurell K.",Laurell K. Hamilton,Anita Blake 02 - The Laughing Corpse,mobi,schema:Ebook
Anita_Blake_03,authors,:,Laurell_K_Hamilton,"Hamilton, Laurell K.",Laurell K. Hamilton,Anita Blake 03 - Circus of the Damned,mobi,schema:Ebook
Anita_Blake_04,authors,:,Laurell_K_Hamilton,"Hamilton, Laurell K.",Laurell K. Hamilton,Anita Blake 04 - The Lunatic Cafe,mobi,schema:Ebook
Anita_Blake_05,authors,:,Laurell_K_Hamilton,"Hamilton, Laurell K.",Laurell K. Hamilton,Anita Blake 05 - Bloody Bones,mobi,schema:Ebook
Anita_Blake_06,authors,:,Laurell_K_Hamilton,"Hamilton, Laurell K.",Laurell K. Hamilton,Anita Blake 06 - The Killing Dance,mobi,schema:Ebook
Anita_Blake_07,authors,:,Laurell_K_Hamilton,"Hamilton, Laurell K.",Laurell K. Hamilton,Anita Blake 07 - Burnt Offerings,mobi,schema:Ebook
Anita_Blake_08,authors,:,Laurell_K_Hamilton,"Hamilton, Laurell K.",Laurell K. Hamilton,Anita Blake 08 - Blue Moon,mobi,schema:Ebook
Anita_Blake_09,authors,:,Laurell_K_Hamilton,"Hamilton, Laurell K.",Laurell K. Hamilton,Anita Blake 09 - Obsidian Butterfly,mobi,schema:Ebook
Anita_Blake_10,authors,:,Laurell_K_Hamilton,"Hamilton, Laurell K.",Laurell K. Hamilton,Anita Blake 10 - Narcissus in Chains,mobi,schema:Ebook
Anita_Blake_11,authors,:,Laurell_K_Hamilton,"Hamilton, Laurell K.",Laurell K. Hamilton,Anita Blake 11 - Cerulean Sins,mobi,schema:Ebook
Anita_Blake_12,authors,:,Laurell_K_Hamilton,"Hamilton, Laurell K.",Laurell K. Hamilton,Anita Blake 12 - Incubus Dreams,mobi,schema:Ebook
Anita_Blake_13,authors,:,Laurell_K_Hamilton,"Hamilton, Laurell K.",Laurell K. Hamilton,Anita Blake 13 - Micah,mobi,schema:Ebook
Anita_Blake_14,authors,:,Laurell_K_Hamilton,"Hamilton, Laurell K.",Laurell K. Hamilton,Anita Blake 14 - Danse Macabre,mobi,schema:Ebook
Anita_Blake_15,authors,:,Laurell_K_Hamilton,"Hamilton, Laurell K.",Laurell K. Hamilton,Anita Blake 15 - The Harlequin,mobi,schema:Ebook
Anita_Blake_16,authors,:,Laurell_K_Hamilton,"Hamilton, Laurell K.",Laurell K. Hamilton,Anita Blake 16 - Blood Noir,mobi,schema:Ebook
Anita_Blake_17,authors,:,Laurell_K_Hamilton,"Hamilton, Laurell K.",Laurell K. Hamilton,Anita Blake 17 - Skin Trade,mobi,schema:Ebook
Anita_Blake_18,authors,:,Laurell_K_Hamilton,"Hamilton, Laurell K.",Laurell K. Hamilton,Anita Blake 18 - Flirt,mobi,schema:Ebook
Anita_Blake_19,authors,:,Laurell_K_Hamilton,"Hamilton, Laurell K.",Laurell K. Hamilton,Anita Blake 19 - Bullet,mobi,schema:Ebook
Meredith_Gentry_01,authors,:,Laurell_K_Hamilton,"Hamilton, Laurell K.",Laurell K. Hamilton,Meredith Gentry 01 - A Kiss of Shadows,mobi,schema:Ebook
Meredith_Gentry_02,authors,:,Laurell_K_Hamilton,"Hamilton, Laurell K.",Laurell K. Hamilton,Meredith Gentry 02 - A Caress of Twilight,mobi,schema:Ebook
Meredith_Gentry_03,authors,:,Laurell_K_Hamilton,"Hamilton, Laurell K.",Laurell K. Hamilton,Meredith Gentry 03 - Seduced by Moonlight,mobi,schema:Ebook
Meredith_Gentry_0,authors,:,Laurell_K_Hamilton,"Hamilton, Laurell K.",Laurell K. Hamilton,Meredith Gentry 04 - A Stroke of Midnight,mobi,schema:Ebook
Meredith_Gentry_05,authors,:,Laurell_K_Hamilton,"Hamilton, Laurell K.",Laurell K. Hamilton,Meredith Gentry 05 - Mistral's Kiss,mobi,schema:Ebook
Meredith_Gentry_06,authors,:,Laurell_K_Hamilton,"Hamilton, Laurell K.",Laurell K. Hamilton,Meredith Gentry 06 - A Lick of Frost,mobi,schema:Ebook
Meredith_Gentry_07,authors,:,Laurell_K_Hamilton,"Hamilton, Laurell K.",Laurell K. Hamilton,Meredith Gentry 07 - Swallowing Darkness,mobi,schema:Ebook
Meredith_Gentry_08,authors,:,Laurell_K_Hamilton,"Hamilton, Laurell K.",Laurell K. Hamilton,Meredith Gentry 08 - Divine Misdemeanors,mobi,schema:Ebook
Are_You_There_Vodka._Its_Me_Chelsea,authors,:,Chelsea_Handler,"Handler, Chelsea",Chelsea Handler,"Are You There, Vodka. It's Me, Chelsea",mobi,schema:Ebook
Chelsea_Chelsea_Bang_Bang,authors,:,Chelsea_Handler,"Handler, Chelsea",Chelsea Handler,Chelsea Chelsea Bang Bang,mobi,schema:Ebook
My_Horizontal_Life,authors,:,Chelsea_Handler,"Handler, Chelsea",Chelsea Handler,"My Horizontal Life, A Collection of One Night Stands",mobi,schema:Ebook
Tess_of_DUrbervilles,authors,:,Thomas_Hardy,"Hardy, Thomas",Thomas Hardy,Tess of the D'Urbervilles,mobi,schema:Ebook
A_Discovery_of_Witches,authors,:,Deborah_Harkness,"Harkness, Deborah",Deborah Harkness,A Discovery of Witches,mobi,schema:Ebook
Sookie_Stackhouse_01,authors,:,Charlaine_Harris,"Harris, Charlaine",Charlaine Harris,Sookie Stackhouse 01 - Dead Until Dark,mobi,schema:Ebook
Sookie_Stackhouse_02,authors,:,Charlaine_Harris,"Harris, Charlaine",Charlaine Harris,Sookie Stackhouse 02 - Living Dead in Dallas,mobi,schema:Ebook
Sookie_Stackhouse_03,authors,:,Charlaine_Harris,"Harris, Charlaine",Charlaine Harris,Sookie Stackhouse 03 - Club Dead,mobi,schema:Ebook
Sookie_Stackhouse_04,authors,:,Charlaine_Harris,"Harris, Charlaine",Charlaine Harris,Sookie Stackhouse 04 - Dead to the World,mobi,schema:Ebook
Sookie_Stackhouse_05,authors,:,Charlaine_Harris,"Harris, Charlaine",Charlaine Harris,Sookie Stackhouse 05 - Dead as a Doornail,mobi,schema:Ebook
Sookie_Stackhouse_06,authors,:,Charlaine_Harris,"Harris, Charlaine",Charlaine Harris,Sookie Stackhouse 06 - Definitely Dead,mobi,schema:Ebook
Sookie_Stackhouse_07,authors,:,Charlaine_Harris,"Harris, Charlaine",Charlaine Harris,Sookie Stackhouse 07 - All Together Dead,mobi,schema:Ebook
Sookie_Stackhouse_08,authors,:,Charlaine_Harris,"Harris, Charlaine",Charlaine Harris,Sookie Stackhouse 08 - From Dead to Worse,mobi,schema:Ebook
Sookie_Stackhouse_09,authors,:,Charlaine_Harris,"Harris, Charlaine",Charlaine Harris,Sookie Stackhouse 09 - Dead and Gone,mobi,schema:Ebook
Sookie_Stackhouse_10,authors,:,Charlaine_Harris,"Harris, Charlaine",Charlaine Harris,Sookie Stackhouse 10 - Dead in the Family,mobi,schema:Ebook
Moral_Landscape,authors,:,Sam_Harris,"Harris, Sam",Sam Harris,The Moral Landscape,mobi,schema:Ebook
Hannibal_01,authors,:,Thomas_Harris,"Harris, Thomas",Thomas Harris,Hannibal 01 - Red Dragon,mobi,schema:Ebook
Hannibal_02,authors,:,Thomas_Harris,"Harris, Thomas",Thomas Harris,Hannibal 02 - The Silence of the Lambs,mobi,schema:Ebook
Hannibal_03,authors,:,Thomas_Harris,"Harris, Thomas",Thomas Harris,Hannibal 03 - Hannibal,mobi,schema:Ebook
Rachel_Morgan_01,authors,:,Kim_Harrison,"Harrison, Kim",Kim Harrison,Rachel Morgan 01 - Dead Witch Walking,mobi,schema:Ebook
Rachel_Morgan_02,authors,:,Kim_Harrison,"Harrison, Kim",Kim Harrison,"Rachel Morgan 02 - The Good, The Bad, and the Undead",mobi,schema:Ebook
Rachel_Morgan_03,authors,:,Kim_Harrison,"Harrison, Kim",Kim Harrison,Rachel Morgan 03 - Every Which Way But Dead,mobi,schema:Ebook
Rachel_Morgan_04,authors,:,Kim_Harrison,"Harrison, Kim",Kim Harrison,Rachel Morgan 04 - A Fistful of Charms,mobi,schema:Ebook
Rachel_Morgan_05,authors,:,Kim_Harrison,"Harrison, Kim",Kim Harrison,Rachel Morgan 05 - For a Few Demons More,mobi,schema:Ebook
Rachel_Morgan_06,authors,:,Kim_Harrison,"Harrison, Kim",Kim Harrison,Rachel Morgan 06 - The Outlaw Demon Wails,mobi,schema:Ebook
Rachel_Morgan_07,authors,:,Kim_Harrison,"Harrison, Kim",Kim Harrison,Rachel Morgan 07 - White Witch Black Curse,mobi,schema:Ebook
